"rank","movie.name","movie.cast","movie.link","year","votes","rating"
170,"Kill Bill: Volume 1","Quentin Tarantino (dir.), Uma Thurman, David Carradine","http://www.imdb.com/title/tt0266697/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_170","2003",845793,8.1
171,"Rebecca, A Mulher Inesquec<U+00ED>vel","Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine","http://www.imdb.com/title/tt0032976/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_171","1940",103937,8.1
172,"Aurora","F.W. Murnau (dir.), George O'Brien, Janet Gaynor","http://www.imdb.com/title/tt0018455/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_172","1927",39576,8.1
173,"Era uma Vez em T<U+00F3>quio","Yasujir<U+00F4> Ozu (dir.), Chish<U+00FB> Ry<U+00FB>, Chieko Higashiyama","http://www.imdb.com/title/tt0046438/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_173","1953",38733,8.1
174,"Ilha do Medo","Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer","http://www.imdb.com/title/tt1130884/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_174","2010",930906,8.1
175,"At<U+00E9> o <U+00DA>ltimo Homem","Mel Gibson (dir.), Andrew Garfield, Sam Worthington","http://www.imdb.com/title/tt2119532/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_175","2016",316916,8.1
176,"O Bandido","Yavuz Turgul (dir.), Sener Sen, Ugur Y<U+00FC>cel","http://www.imdb.com/title/tt0116231/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_176","1996",50269,8.1
177,"Mary e Max: Uma Amizade Diferente","Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman","http://www.imdb.com/title/tt0978762/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_177","2009",141790,8.1
178,"Como Treinar o Seu Drag<U+00E3>o","Dean DeBlois (dir.), Jay Baruchel, Gerard Butler","http://www.imdb.com/title/tt0892769/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_178","2010",565238,8.1
179,"Garota Exemplar","David Fincher (dir.), Ben Affleck, Rosamund Pike","http://www.imdb.com/title/tt2267998/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_179","2014",700804,8.1
